epoch,num_epochs,batch,num_batchs,train_loss,train_acc,train_speed,time
1,100,30,30,0.2088,0.94954,86189.3,8.875809669494629
2,100,30,30,0.00597,0.99856,52957.7,14.445494174957275
3,100,30,30,0.00081,1.0,38230.5,20.01019549369812
4,100,30,30,0.00039,1.0,29889.8,25.59402251243592
5,100,30,30,0.00023,1.0,24510.0,31.21169424057007
6,100,30,30,0.00021,1.0,20772.1,36.8282949924469
7,100,30,30,0.00018,1.0,18017.0,42.459986209869385
8,100,30,30,0.00015,1.0,15898.7,48.11720108985901
9,100,30,30,0.00013,1.0,14226.3,53.77345728874207
10,100,30,30,0.00011,1.0,12849.8,59.53393292427063
11,100,30,30,0.0001,1.0,11721.0,65.26768732070923
12,100,30,30,9e-05,1.0,10774.9,70.99806356430054
13,100,30,30,8e-05,1.0,9969.2,76.73643565177917
14,100,30,30,7e-05,1.0,9274.1,82.48773884773254
15,100,30,30,6e-05,1.0,8669.3,88.24227261543274
16,100,30,30,7e-05,1.0,8137.2,94.01314997673036
17,100,30,30,6e-05,1.0,7666.4,99.7855908870697
18,100,30,30,6e-05,1.0,7248.7,105.53567576408386
19,100,30,30,5e-05,1.0,6875.8,111.2596628665924
20,100,30,30,4e-05,1.0,6537.9,117.00925588607788
21,100,30,30,4e-05,1.0,6199.9,123.38851070404051
22,100,30,30,4e-05,1.0,5930.8,128.98796367645264
23,100,30,30,4e-05,1.0,5682.5,134.62480282783508
24,100,30,30,3e-05,1.0,5445.9,140.47271633148193
25,100,30,30,3e-05,1.0,5235.0,146.1306278705597
26,100,30,30,3e-05,1.0,5038.4,151.8342161178589
27,100,30,30,3e-05,1.0,4853.7,157.6132516860962
28,100,30,30,2e-05,1.0,4682.2,163.3860158920288
29,100,30,30,2e-05,1.0,4523.0,169.13406372070312
30,100,30,30,2e-05,1.0,4373.9,174.90083074569702
31,100,30,30,3e-05,1.0,4235.0,180.6372418403625
32,100,30,30,2e-05,1.0,4104.7,186.37137603759768
33,100,30,30,2e-05,1.0,3981.8,192.12532949447632
34,100,30,30,2e-05,1.0,3865.9,197.88617491722107
35,100,30,30,2e-05,1.0,3751.6,203.91532373428345
36,100,30,30,2e-05,1.0,3649.9,209.5976250171661
37,100,30,30,2e-05,1.0,3548.2,215.6036462783813
38,100,30,30,2e-05,1.0,3457.4,221.2666451931
39,100,30,30,2e-05,1.0,3370.2,226.98890662193293
40,100,30,30,2e-05,1.0,3287.3,232.7133522033692
41,100,30,30,1e-05,1.0,3208.3,238.4446518421173
42,100,30,30,1e-05,1.0,3133.1,244.1655457019806
43,100,30,30,2e-05,1.0,3061.3,249.89254474639893
44,100,30,30,1e-05,1.0,2992.8,255.6126267910004
45,100,30,30,1e-05,1.0,2927.0,261.35715651512146
46,100,30,30,1e-05,1.0,2859.7,267.50663805007935
47,100,30,30,1e-05,1.0,2799.4,273.2691662311554
48,100,30,30,1e-05,1.0,2742.0,278.9945797920227
49,100,30,30,1e-05,1.0,2686.8,284.7227985858917
50,100,30,30,1e-05,1.0,2633.9,290.444486618042
51,100,30,30,1e-05,1.0,2583.0,296.16993045806885
52,100,30,30,1e-05,1.0,2533.6,301.9445381164551
53,100,30,30,1e-05,1.0,2486.6,307.64642548561096
54,100,30,30,1e-05,1.0,2440.6,313.446248292923
55,100,30,30,1e-05,1.0,2397.2,319.12458300590515
56,100,30,30,1e-05,1.0,2355.3,324.7957034111023
57,100,30,30,1e-05,1.0,2315.1,330.43798089027405
58,100,30,30,1e-05,1.0,2276.0,336.1176278591156
59,100,30,30,1e-05,1.0,2238.2,341.7887270450592
60,100,30,30,1e-05,1.0,2202.0,347.41138553619385
61,100,30,30,1e-05,1.0,2166.8,353.0524351596832
62,100,30,30,1e-05,1.0,2132.9,358.664466381073
63,100,30,30,1e-05,1.0,2100.1,364.2755284309387
64,100,30,30,1e-05,1.0,2068.2,369.89249634742737
65,100,30,30,1e-05,1.0,2037.4,375.4871044158936
66,100,30,30,1e-05,1.0,2007.4,381.0891280174256
67,100,30,30,1e-05,1.0,1978.2,386.71352791786194
68,100,30,30,1e-05,1.0,1949.9,392.32349371910095
69,100,30,30,1e-05,1.0,1922.5,397.9260985851288
