epoch,train loss,train acc,test acc,time
1,1.80192,0.12778,0.16667,3.5020551681518555
2,1.79487,0.22222,0.16481,3.847066164016724
3,1.78969,0.16111,0.20988,4.191101551055908
4,1.74038,0.26111,0.21605,4.5331807136535645
5,1.64741,0.26667,0.25247,4.878380060195923
6,1.53787,0.30556,0.29444,5.223817348480225
7,1.45818,0.36667,0.34012,5.567619562149048
8,1.49942,0.34444,0.34753,5.913111925125122
9,1.45962,0.36111,0.33642,6.258498430252075
10,1.45547,0.33889,0.3537,6.6053736209869385
11,1.46622,0.33889,0.33704,6.951683044433594
12,1.36072,0.40556,0.34938,7.300429105758667
13,1.30968,0.43889,0.34568,7.647335529327393
14,1.27083,0.45556,0.40309,7.992383003234863
15,1.26001,0.52778,0.48889,8.337582349777222
16,1.20457,0.48333,0.4321,8.68429183959961
17,1.23104,0.47222,0.49444,9.031427383422852
18,1.12149,0.56111,0.50309,9.379050731658936
19,1.03444,0.6,0.48025,9.725000858306885
20,1.04514,0.58333,0.5142,10.071309328079224
21,0.99252,0.60556,0.54753,10.417969703674316
22,1.02404,0.56667,0.55556,10.76382327079773
23,1.03674,0.57778,0.56111,11.111090183258057
24,1.10626,0.53333,0.5642,11.458424806594849
25,0.94614,0.62222,0.57716,11.80614161491394
26,0.88254,0.69444,0.55988,12.153853178024292
27,0.85924,0.68889,0.58519,12.50007176399231
28,0.79604,0.66667,0.5858,12.849636793136597
29,0.76326,0.7,0.60247,13.19751477241516
30,0.84859,0.66667,0.60556,13.545525312423706
31,0.93836,0.61111,0.58395,13.893876791000366
32,0.87896,0.66667,0.60494,14.23917293548584
33,0.87626,0.67778,0.59877,14.586524248123167
34,0.8561,0.64444,0.54259,14.933990240097046
35,0.86443,0.61667,0.61975,15.279489040374756
36,0.82237,0.69444,0.6142,15.626920461654665
37,0.69588,0.74444,0.63765,15.975360870361328
38,0.70031,0.7,0.65617,16.32276201248169
39,0.62484,0.73889,0.66605,16.67090392112732
40,0.58569,0.77778,0.66728,17.01890778541565
41,0.54736,0.80556,0.6858,17.36569857597351
42,0.51913,0.80556,0.66543,17.713056564331055
43,0.56999,0.77778,0.65185,18.059866428375244
44,0.5547,0.77778,0.68457,18.40865993499756
45,0.49714,0.82222,0.6821,18.75816035270691
46,0.52041,0.81667,0.68704,19.104700088500977
47,0.4994,0.83333,0.70988,19.452067136764526
48,0.38597,0.83889,0.67469,19.79832410812378
49,0.38246,0.83889,0.71296,20.14616131782532
50,0.34552,0.83889,0.71358,20.4941041469574
51,0.27185,0.91667,0.71049,20.84127902984619
52,0.28938,0.87778,0.71111,21.18777871131897
53,0.32553,0.88333,0.69568,21.536132097244263
54,0.33968,0.83889,0.7142,21.884689569473267
55,0.30079,0.87778,0.71173,22.234355926513672
56,0.31995,0.89444,0.71235,22.582773447036743
57,0.29801,0.87778,0.70802,22.931699752807617
58,0.24351,0.88889,0.70494,23.27897882461548
59,0.26192,0.88889,0.72778,23.62788677215576
60,0.25816,0.91111,0.69198,23.97673320770264
61,0.30613,0.9,0.66481,24.32483530044556
62,0.48935,0.87222,0.68704,24.67178010940552
63,0.42004,0.79444,0.64568,25.01951384544373
64,0.33495,0.88333,0.70309,25.36955189704895
65,0.35213,0.85,0.71543,25.718316078186035
66,0.21781,0.92222,0.70185,26.066934823989868
67,0.23756,0.91667,0.68395,26.415752172470093
68,0.29881,0.87778,0.6963,26.76482963562012
69,0.29808,0.91111,0.72654,27.11390233039856
70,0.18693,0.93889,0.7,27.461915493011475
71,0.15999,0.93333,0.7358,27.81146597862244
72,0.1746,0.92222,0.73642,28.15894317626953
73,0.11933,0.96667,0.71728,28.50537919998169
74,0.10596,0.97222,0.73333,28.85380911827088
75,0.13119,0.95,0.71358,29.20130562782288
76,0.11453,0.95556,0.71235,29.5472195148468
77,0.09076,0.97778,0.73889,29.896356344223022
78,0.10109,0.95556,0.73086,30.24428343772888
79,0.14202,0.94444,0.75185,30.59330105781555
80,0.21982,0.93333,0.70741,30.943236589431763
81,0.30175,0.91667,0.7321,31.29263377189636
82,0.20833,0.92778,0.73519,31.642226934432983
83,0.08185,0.98889,0.71481,31.99023389816284
84,0.19191,0.93333,0.73951,32.3385112285614
85,0.12255,0.96111,0.70185,32.68676161766052
86,0.16148,0.94444,0.74259,33.035553216934204
87,0.17062,0.94444,0.7358,33.38428783416748
88,0.07887,0.96667,0.73889,33.73361325263977
89,0.11173,0.97222,0.74198,34.0828583240509
90,0.08001,0.97222,0.74383,34.43111634254456
91,0.03971,0.98889,0.74815,34.779037952423096
92,0.0338,0.99444,0.7358,35.12787365913391
93,0.03802,0.98889,0.7358,35.474647521972656
94,0.03412,0.98889,0.7463,35.82302403450012
95,0.03985,0.98889,0.73086,36.1714255809784
96,0.03753,0.98889,0.73519,36.5195095539093
97,0.02279,0.99444,0.73951,36.86857199668884
98,0.04129,0.97222,0.73765,37.21717286109924
99,0.04291,0.98333,0.72037,37.566519260406494
100,0.06500,0.97778,0.72531,37.91501426696777
