epoch,num_epochs,batch,num_batchs,TotalLoss_vae,TotalLoss_g,D_TotalLoss_g,D_TotalLoss_d
1,500,1,4,10.091704368591309,2.919280529022217,1.5338674783706665,0.695766806602478
1,500,2,4,9.530165672302246,3.055500030517578,1.5218294858932495,0.6931090354919434
1,500,3,4,9.507494926452637,3.0537562370300293,1.515661358833313,0.690796971321106
1,500,4,4,9.489700317382812,3.034249782562256,1.512467861175537,0.6885002851486206
2,500,1,4,9.468952178955078,2.8791656494140625,1.5125610828399658,0.6861751079559326
2,500,2,4,9.084495544433594,2.8575096130371094,1.4970189332962036,0.6831904649734497
2,500,3,4,9.167855262756348,2.8990328311920166,1.500267505645752,0.6803988218307495
2,500,4,4,9.437158584594728,2.847784996032715,1.512202501296997,0.6786026954650879
3,500,1,4,9.28640842437744,2.828258514404297,1.5077357292175293,0.6739974021911621
3,500,2,4,9.169005393981934,2.738957405090332,1.5068328380584717,0.6726266145706177
3,500,3,4,9.116856575012209,2.811958312988281,1.499627947807312,0.6681562066078186
3,500,4,4,9.200419425964355,2.798064947128296,1.5076968669891355,0.6654049158096313
4,500,1,4,9.058223724365234,2.857263565063477,1.5067417621612549,0.6608452796936035
4,500,2,4,9.000001907348633,2.8585638999938965,1.5058751106262207,0.6564376354217529
4,500,3,4,9.147031784057615,2.922272205352783,1.508660078048706,0.6520460844039917
4,500,4,4,8.928565979003906,2.754019021987915,1.502995491027832,0.6478633880615234
5,500,1,4,8.91695499420166,2.878492593765259,1.5054690837860107,0.6423320770263672
5,500,2,4,9.216863632202148,2.830250740051269,1.5140016078948977,0.6372345685958862
5,500,3,4,8.837940216064453,2.892229557037353,1.5043861865997314,0.6291859149932861
5,500,4,4,9.050443649291992,2.719057559967041,1.5128703117370603,0.6258911490440369
6,500,1,4,8.712100982666016,2.972414970397949,1.508670210838318,0.6166841983795166
6,500,2,4,8.800934791564941,2.7294039726257324,1.5137929916381836,0.6083654761314392
6,500,3,4,8.875248908996582,2.790311813354492,1.5143178701400757,0.6031659841537476
6,500,4,4,8.789533615112305,2.872288227081299,1.512892484664917,0.5928344130516052
7,500,1,4,8.664892196655273,2.8374955654144287,1.513044357299805,0.5822764039039612
7,500,2,4,8.868644714355469,2.8331007957458496,1.518117904663086,0.5771712064743042
