epoch,num_epochs,batch,num_batchs,TotalLoss_vae,TotalLoss_g,D_TotalLoss_g,D_TotalLoss_d
1,100,1,10,28.51721954345703,3.342823028564453,1.6740522384643557,0.6887874603271484
1,100,2,10,23.92585182189941,3.46609115600586,1.6432101726531982,0.6856002807617188
1,100,3,10,24.236373901367188,3.4147329330444336,1.6264467239379885,0.6825029850006104
1,100,4,10,24.45593643188477,3.3186187744140625,1.601639986038208,0.678077220916748
1,100,5,10,24.06161880493164,3.226236343383789,1.5900849103927612,0.6745243072509766
1,100,6,10,22.735828399658203,3.151637554168701,1.57074236869812,0.6709921360015869
1,100,7,10,22.53786849975586,3.0408077239990234,1.5568054914474487,0.6667897701263428
1,100,8,10,21.635303497314453,3.1904754638671875,1.541986346244812,0.6623564958572388
1,100,9,10,21.15041732788086,2.9033358097076416,1.521262764930725,0.6591916084289551
1,100,10,10,21.16397857666016,2.9620819091796875,1.5099258422851562,0.6564946174621582
2,100,1,10,20.417430877685547,3.066760778427124,1.4964547157287598,0.6516074538230896
2,100,2,10,20.40000534057617,2.956815481185913,1.4765372276306152,0.6489393711090088
2,100,3,10,20.09068298339844,3.000312805175781,1.4659113883972168,0.6450564861297607
2,100,4,10,18.612260818481445,2.9382541179656982,1.4581921100616455,0.6419547200202942
2,100,5,10,17.90384292602539,2.8614540100097656,1.4464218616485596,0.6371569633483887
2,100,6,10,17.472103118896484,2.958979606628418,1.4409005641937256,0.6324582695960999
2,100,7,10,17.119691848754883,2.87540340423584,1.4256916046142578,0.628237247467041
2,100,8,10,17.203392028808594,2.967710494995117,1.4198355674743652,0.6240227222442627
2,100,9,10,16.574010848999023,2.9195032119750977,1.412311553955078,0.6189801692962646
2,100,10,10,16.274572372436523,2.7432503700256348,1.393752098083496,0.6109040975570679
3,100,1,10,15.754362106323242,2.8541054725646973,1.3903274536132812,0.603216290473938
3,100,2,10,15.255146026611328,2.674994468688965,1.3763470649719238,0.5989164113998413
3,100,3,10,15.493555068969728,2.849029541015625,1.3801383972167969,0.5893787145614624
3,100,4,10,15.442835807800291,2.787162065505981,1.3626686334609983,0.5807654857635498
